kapasitas,nl_loss,tipe_inti,nlc_persen,standar
50,115.66,CRGO,1.32,1.23
50,118.09,CRGO,1.58,1.23
50,118.59,CRGO,1.41,1.23
50,108.86,CRGO,1.18,1.23
50,118.29,CRGO,1.60,1.23
50,118.14,CRGO,1.47,1.23
50,115.76,CRGO,1.52,1.23
50,115.77,CRGO,1.32,1.23
50,111.95,CRGO,1.51,1.23
50,112.79,CRGO,1.56,1.23
50,117.88,CRGO,1.50,1.23
50,108.28,CRGO,1.36,1.23
50,113.42,CRGO,1.56,1.23
50,119.37,CRGO,1.43,1.23
50,117.34,CRGO,1.45,1.23
50,110.71,CRGO,1.44,1.23
50,116.00,CRGO,1.31,1.23
50,113.00,CRGO,1.60,1.23
50,111.74,CRGO,1.45,1.23
50,112.67,CRGO,1.54,1.23
50,116.07,CRGO,1.48,1.23
50,113.70,CRGO,1.56,1.23
50,117.82,CRGO,1.56,1.23
50,109.98,CRGO,1.32,1.23
50,116.82,CRGO,1.47,1.23
50,110.71,CRGO,1.53,1.23
50,111.93,CRGO,1.58,1.23
50,109.36,CRGO,1.54,1.23
50,107.63,CRGO,1.38,1.23
50,106.79,CRGO,1.39,1.23
50,109.72,CRGO,1.45,1.23
50,107.36,CRGO,1.39,1.23
50,110.12,CRGO,1.51,1.23
50,110.05,CRGO,1.40,1.23
50,118.66,CRGO,1.26,1.23
50,118.15,CRGO,1.42,1.23
50,120.50,CRGO,1.51,1.23
50,113.23,CRGO,1.15,1.23
50,118.25,CRGO,1.48,1.23
50,116.73,CRGO,1.55,1.23
50,107.18,CRGO,1.48,1.23
50,105.99,CRGO,1.40,1.23
50,120.47,CRGO,1.48,1.23
50,105.80,CRGO,1.39,1.23
50,109.72,CRGO,1.54,1.23
50,109.94,CRGO,1.52,1.23
50,109.00,CRGO,1.46,1.23
50,110.04,CRGO,1.56,1.23
50,118.04,Amorphous,0.36,0.40
50,127.73,Amorphous,0.38,0.40
50,123.27,Amorphous,0.22,0.40
50,123.21,Amorphous,0.27,0.40
50,124.48,Amorphous,0.32,0.40
50,116.57,Amorphous,0.34,0.40
50,128.65,Amorphous,0.47,0.40
50,122.20,Amorphous,0.23,0.40
50,127.34,Amorphous,0.29,0.40
50,121.88,Amorphous,0.48,0.40
50,111.58,Amorphous,0.37,0.40
50,124.90,Amorphous,0.30,0.40
50,121.48,Amorphous,0.20,0.40
50,127.81,Amorphous,0.47,0.40
50,121.58,Amorphous,0.25,0.40
50,120.59,Amorphous,0.26,0.40
50,120.31,Amorphous,0.36,0.40
50,126.51,Amorphous,0.48,0.40
50,109.91,Amorphous,0.15,0.40
50,127.20,Amorphous,0.41,0.40
50,121.22,Amorphous,0.53,0.40
50,127.29,Amorphous,0.51,0.40
50,126.74,Amorphous,0.52,0.40
50,127.91,Amorphous,0.43,0.40
50,118.24,Amorphous,0.43,0.40
50,125.43,Amorphous,0.44,0.40
50,122.77,Amorphous,0.46,0.40
50,124.90,Amorphous,0.26,0.40
50,126.79,Amorphous,0.54,0.40
50,124.97,Amorphous,0.52,0.40
50,111.84,Amorphous,0.19,0.40
50,122.01,Amorphous,0.52,0.40
50,122.88,Amorphous,0.22,0.40
50,124.34,Amorphous,0.34,0.40
50,124.20,Amorphous,0.32,0.40
50,123.06,Amorphous,0.36,0.40
50,111.99,Amorphous,0.49,0.40
50,124.16,Amorphous,0.44,0.40
50,109.94,Amorphous,0.20,0.40
50,113.69,Amorphous,0.20,0.40
50,128.00,Amorphous,0.20,0.40
50,123.72,Amorphous,0.22,0.40
50,119.87,Amorphous,0.51,0.40
50,127.04,Amorphous,0.51,0.40
50,124.63,Amorphous,0.53,0.40
50,118.45,Amorphous,0.29,0.40
50,123.59,Amorphous,0.26,0.40
50,118.39,Amorphous,0.40,0.40
