kapasitas,nl_loss,tipe_inti,nlc_persen,standar
50,38.048,Amorphous,0.141,0.160
50,37.449,Amorphous,0.148,0.160
50,37.603,Amorphous,0.148,0.160
50,39.985,Amorphous,0.164,0.160
50,35.150,Amorphous,0.149,0.160
50,35.046,Amorphous,0.157,0.160
50,36.538,Amorphous,0.139,0.160
50,33.136,Amorphous,0.166,0.160
50,33.869,Amorphous,0.162,0.160
50,32.169,Amorphous,0.145,0.160
50,37.680,Amorphous,0.160,0.160
50,35.935,Amorphous,0.147,0.160
50,37.107,Amorphous,0.150,0.160
50,36.159,Amorphous,0.140,0.160
50,36.578,Amorphous,0.165,0.160
50,39.966,Amorphous,0.180,0.160
50,34.844,Amorphous,0.154,0.160
50,35.736,Amorphous,0.150,0.160
50,38.268,Amorphous,0.162,0.160
50,37.925,Amorphous,0.151,0.160
50,37.308,Amorphous,0.145,0.160
50,38.891,Amorphous,0.152,0.160
50,39.010,Amorphous,0.161,0.160
50,37.476,Amorphous,0.158,0.160
50,33.510,Amorphous,0.159,0.160
50,35.836,Amorphous,0.144,0.160
50,36.775,Amorphous,0.152,0.160
50,32.800,Amorphous,0.165,0.160
50,38.262,Amorphous,0.162,0.160
50,34.464,Amorphous,0.150,0.160
50,32.501,Amorphous,0.168,0.160
50,37.940,Amorphous,0.134,0.160
50,37.201,Amorphous,0.144,0.160
50,34.634,Amorphous,0.152,0.160
50,35.843,Amorphous,0.150,0.160
50,34.571,Amorphous,0.136,0.160
50,34.106,Amorphous,0.160,0.160
50,37.168,Amorphous,0.156,0.160
50,37.047,Amorphous,0.150,0.160
50,36.039,Amorphous,0.143,0.160
50,34.332,Amorphous,0.150,0.160
50,33.483,Amorphous,0.157,0.160
50,36.587,Amorphous,0.146,0.160
50,33.031,Amorphous,0.152,0.160
50,36.430,Amorphous,0.157,0.160
50,33.510,Amorphous,0.171,0.160
50,36.250,Amorphous,0.200,0.160
50,38.144,Amorphous,0.186,0.160
50,84.037,CRGO,0.370,0.400
50,76.810,CRGO,0.362,0.400
50,78.403,CRGO,0.414,0.400
50,82.928,CRGO,0.355,0.400
50,84.626,CRGO,0.294,0.400
50,85.229,CRGO,0.342,0.400
50,85.480,CRGO,0.339,0.400
50,83.449,CRGO,0.317,0.400
50,86.507,CRGO,0.326,0.400
50,84.519,CRGO,0.331,0.400
50,84.146,CRGO,0.309,0.400
50,86.050,CRGO,0.309,0.400
50,84.994,CRGO,0.297,0.400
50,84.837,CRGO,0.316,0.400
50,83.041,CRGO,0.328,0.400
50,84.003,CRGO,0.333,0.400
50,82.953,CRGO,0.342,0.400
50,87.043,CRGO,0.331,0.400
50,82.394,CRGO,0.343,0.400
50,83.855,CRGO,0.353,0.400
50,83.179,CRGO,0.383,0.400
50,81.929,CRGO,0.344,0.400
50,84.458,CRGO,0.358,0.400
50,88.427,CRGO,0.340,0.400
50,83.012,CRGO,0.379,0.400
50,88.462,CRGO,0.433,0.400
50,83.807,CRGO,0.394,0.400
50,84.546,CRGO,0.370,0.400
50,85.182,CRGO,0.366,0.400
50,82.798,CRGO,0.369,0.400
50,83.543,CRGO,0.363,0.400
50,83.794,CRGO,0.376,0.400
50,82.124,CRGO,0.362,0.400
50,82.749,CRGO,0.382,0.400
50,81.171,CRGO,0.395,0.400
50,83.413,CRGO,0.369,0.400
50,83.776,CRGO,0.344,0.400
50,83.111,CRGO,0.366,0.400
50,83.679,CRGO,0.353,0.400
50,79.933,CRGO,0.364,0.400
50,82.108,CRGO,0.353,0.400
50,83.279,CRGO,0.373,0.400
50,83.259,CRGO,0.472,0.400
50,82.982,CRGO,0.376,0.400
50,84.252,CRGO,0.353,0.400
50,83.778,CRGO,0.362,0.400
50,83.542,CRGO,0.371,0.400
50,83.170,CRGO,0.348,0.400
